text,label
يعتقد خبراء إسرائيليون أن الحرب الحالية على قطاع غزة ستتحول إلى نشاط مستمر ضد ما قالوا إنها “بقايا فصائل المقاومة” ويرى البعض أن سياسة الأحزمة النارية التي يلجأ إليها جيش الاحتلال تدمر كتائب عسكرية.,1
تواصل إسرائيل انتهاك كافة القوانين الدولية من خلال استخدام حصار وتجويع المدنيين في قطاع غزة كسلاح حرب لإجبارهم على الهجرة قسرا من أاتهمت حركة المقاومة الإسلامية (حماس) الاحتلال الإسرائيلي اليوم الجمعة بشن “حرب تجويع معلنة” على سكان غزة، مؤكدة أن تصعيد عملياته هدفه “تطبيق خطط الإبادة والتهجير” على سكان القطاع المحاصر.,1
قال مدير المستشفى المعمداني بغزة الدكتور فضل نعيم إن المستشفى غير قادر على استيعاب أي مصابين جدد بسبب تتابع القصف الإسرائيلي، كاشفا أنه يتم المفاضلة بين الإصابات وفق آلية تهدف لإنقاذ أكبر عدد ممكن.,1
"""حصلت شبكة CNN على مقطع فيديو من شاهد عيان، يُظهر المشتبه به في إطلاق النار المميت على اثنين من موظفي السفارة الإسرائيلية وهو يصرخ """"الحرية لفلسطين""""، أثناء احتجازه داخل المتحف اليهودي في العاصمة، واشنطن، مساء الأربعاء.""",1
"""أفادت الشرطة البريطانية أنّها اعتقلت رجلاً تسلق برج ساعة """"بيغ بن"""" التاريخي رافعًا العلم الفلسطيني، وتمسّك الرجل، الذي كان حافي القدمين، ويرتدي ملابس سوداء بالكامل، بجانب البرج لعدة ساعات بينما حاول طاقم الإطفاء التحدث معه.""",1
"""لطالما كان فن التطريز الفلسطيني جزءًا من حياة الشابة زين المصري، مع نشأتها في منزلٍ مليء بالأثاث واللوحات المزينة بأنماط التطريز المتنوعة والزاهية.",1
"في عام 2021، قررت المصري، وهي فلسطينية الأصل، الربط بين شغفها في التطريز وخلفيتها في مجال التكنولوجيا، وإطلاق منصة """"Tirazain"""" (طرازين) عبر الإنترنت لإنشاء سجل رقمي لفن التطريز الفلسطيني الموروث عبر الأجيال، والذي يتعرض لمخاطر تهدد ببقاء استمراريته، وفقًا للموقع الرسمي لمنظمة اليونسكو.""",1
"""كان حاكم ولاية أركنساس السابق مايك هاكابي، الذي أعلن الرئيس الأمريكي المنتخب، دونالد ترامب، الثلاثاء، أنه مرشحه لمنصب السفير الأمريكي إلى إسرائيل، قد قال في الماضي، كما يكشف مقطع فيديو من عام 2008، إنه """"لا يوجد شيء اسمه فلسطيني"""" وأن الأمر """"أداة سياسية لمحاولة إجبار إسرائيل على التخلي عن أرضها"""". لدى أندرو كاتشينسكي، كبير محرري KFILE في شبكة CNN، المزيد من التفاصيل.""",1
"""قال وزير الخارجية السعودي الأمير فيصل بن فرحان إن """"إن إنشاء دولة فلسطينية لا يتعلق بما إذا كانت إسرائيل تقبل أم لا، بل إنه مرتبط بمبادئ القانون الدولي"""".مضيفًا أن """"قرارات الأمم المتحدة التي أدت إلى إنشاء دولة إسرائيل كانت تهدف بوضوح إلى إقامة دولة فلسطينية أيضًا، لذا يتعين علينا أن نجعل ذلك يحدث.""""""",1
"""قال وزير الخارجية السعودي الأمير فيصل بن فرحان إن تطبيع بلاده مع إسرائيل """"غير وارد حتى التوصل إلى حل بشأن إقامة الدولة الفلسطينية"""" مضيفًا أن """"أمن كل المنطقة معرض للخطر إذا لم نعالج حقوق الفلسطينيين، وإذا لم نجد طريقًا إلى مسار يقودنا إلى دولة فلسطينية"""".""",1
وجدت المصورة السلوفاكية، بيترا باسناكوفا، الألم، والهدف، والسلام في كل منعطف من رحلتها التي استمرت ثلاث سنوات مع عائلات الصحراء البدوية الفلسطينية.,1
اتُهمت امرأة تبلغ من العمر 42 عامًا في مدينة يولس بولاية تكساس الأمريكية بمحاولة القتل العمد وإصابة طفل بعد محاولتها إغراق طفلين في مسبح مجمع سكني والإدلاء بتصريحات عنصرية تجاه والدتهما الفلسطينية.,1
"""افتتح الشيف فادي قطان، مطعمًا فاخرًا بمسقط رأسه في بيت لحم بالضفة الغربية. وأصدر في الآونة الأخيرة كتاب طبخ جديد بعنوان """"بيت لحم: احتفال بالطعام الفلسطيني"""". زارت كريستيان أمانبور، كبيرة المذيعين الدوليين في CNN، مطعمه الشهير """"عكوب"""" (Akub) في لندن للحديث عن الحفاظ على الهوية الفلسطينية، في ظل استيعاب تأثير الحرب القائمة على عائلته وأصدقائه.""",1
"""خلال تعليقه على تصويت الجمعية العامة بأغلبية كبيرة على منح السلطة الفلسطينية العضوية الكاملة في مجلس الأمن، قال السفير الفلسطيني لدى المملكة المتحدة، حسام زملط إن """"إن ذلك لا يمثل خطوة رمزيًة فحسب، بل فعلية، وتمثل إرادة شعوب العالم"""".""",1
"""حصلت شبكة CNN على مقطع فيديو من شاهد عيان، يُظهر المشتبه به في إطلاق النار المميت على اثنين من موظفي السفارة الإسرائيلية وهو يصرخ """"الحرية لفلسطين""""، أثناء احتجازه داخل المتحف اليهودي في العاصمة، واشنطن، مساء الأربعاء.""",1
"""أفادت الشرطة البريطانية أنّها اعتقلت رجلاً تسلق برج ساعة """"بيغ بن"""" التاريخي رافعًا العلم الفلسطيني، وتمسّك الرجل، الذي كان حافي القدمين، ويرتدي ملابس سوداء بالكامل، بجانب البرج لعدة ساعات بينما حاول طاقم الإطفاء التحدث معه.""",1
