text,label
كيف تتحدث عن الدستور والعدالة الانتقالية والمجازر بينما الناس بالكاد تجد ما تأكله؟ أنت تبرر ولن أجيبك لأنني لست الحكومة يا بخش القلب,0
أنباء عن إصابة شبح المجاعة في غزة بفقر الدم,0
تشكيل تحالف عربي للدعاء على إسرائيل في ليلة القدر,0
ترامب يؤكد أنه أسد وسيحرق البلد,0
دراسات الحدود: معرفة أين كنت حضرتي طوال ١٤ سنة لا يحل المشكلة التي نتحدث عنها الآن,0
الشرع: وساطة دولية أنقذت السويداء من تشكيل لجنة تحقيق يحكي بها العالم أجمع,0
الاحتلال يلوّح بعضوه بعد تعريته للمرة العشرين هذا العام,0
أنصار الشرع يحلقون للدولة وقوانينها,0
الفلسطينيون لم يستلموا المساعدات رغم كسم إسرائيل مليار مرة يومياً,0
هل ستصبح سوريا بعد ١٠ سنوات أي شيء؟ بشكل عام؟,0
مصر تقرر إدخال مساعدات فورية إلى غزة مهما كلف الأمر بمجرد أن يُسمح بذلك,0
إردوغان يمهل إسرائيل عامين إضافيين لإدخال المساعدات إلى غزة أو سيضطر للتفكير بماذا سيفعل حينها,0
مطعم فلافل يرفض إعداد سندويشة لزبون لم يبدأ طلبه بالترحم على شباب الأمن العام وأبناء العشائر وشتم الهجري,0
الشيباني يطالب باشتراك تشات جي بي تي بلس للمساعدة على الترجمة وتفادي العلقة مع إسرائيل مجدداً,0
القيادة السورية تتراجع عن خطة التحول إلى سنغافورة وتكتفي بنموذج سوريا الأسد,0
دراسات الحدود: معرفة أين كنت حضرتي طوال ١٤ سنة لا يحل المشكلة التي نتحدث عنها الآن,0
الاحتلال يلوّح بعضوه بعد تعريته للمرة العشرين هذا العام,0
الشرع: وساطة دولية أنقذت السويداء من تشكيل لجنة تحقيق يحكي بها العالم أجمع,0
إسرائيل تبدي استعدادها لقصف أي طرف منزعج من طرف آخر في المنطقة,0
استطلاع: أنصار الشرع يرفضون تحول سوريا لمملكة ويفضلونها مزرعة,0
مصر: إدارة قرية مراسي تفرض على الزوار ارتداء سوار كاحل مُكَهْرِب,0
وزارة الدفاع السورية تؤكد على ضرورة التخلي عن النزعة الانفصالية وحصر السلاح بيد الفصائل المنفتلة,0
الشرع يؤكد لأهله أنه قابل مسؤولاً إسرائيلياً صدفة عند صديقه لكن لم يحدث بينهما شيء,0
الرئيس الشرع يوصي لجنة تقصي الحقائق بتأجيل نشر تحقيقها حول أحداث الساحل لتضيف إليه ما سيحصل بالسويداء,0
لماذا تخفي السلطات المصرية الناس بالسر رغم قدرتها على إخفائهم بالعلن؟,0
الشرع: استعينوا على قضاء حوائجكم في أبو ظبي بالكتمان,0
لماذا لا تثمر جهود الوساطة لحل صراعات المنطقة؟ أنت تسأل وخبير الحدود للثمار المعدلة جينياً يجيب,0
تحقيق أممي يتوصل إلى وجود حرب في غزة,0
مطالب شعبية في غزة بتخفيف حدة المساعدات,0
وزير الثقافة السوري: العلويّات الشريفات هُنَّ الشغَّالات,0
رئيس سوريا الكويّس يستفرد بكل شيء لحماية البلاد من العرصات المحيطين به,0
ياسر أبو شباب يؤكد أن مجموعته ليست أغلى من فلسطين ومستعد لبيعها إذا كان الثمن سخياً,0
"""الرئاسة السورية تصدر مرسوماً باعتماد أنشودة """"جبهتنا منصورة"""" نشيداً وطنياً للبلاد""",0
نعيم قاسم يؤكد تمسك الحزب بسلاحه مع إمكانية تخبئته بشكل أفضل,0
ارتياح عارم في إسرائيل بعد حريق سنترال رمسيس الذي تسبب بشل حركة الدبابات في سيناء,0
الأوقاف السورية تقيم حفلاً لافتتاح مصلى في نادي الكروان الليلي,0
ترامب يبدأ حملة لتمشيط ساحل نيويورك من فلول نظام بايدن,0
إسرائيل تؤكد رفضها لأي هدنة يوافق عليها الفلسطينيون,0
سوريا: تأجيل الاحتفال بالهوية البصرية في الساحل خوفاً على ريش العُقاب,0
إيران تستبدل البرنامج النووي ببرنامج ما يطلبه الجمهور الأردني,0
هزيمة طهران قد تسمح لإسرائيل بشن غارات على سوريا وقتل مدنيين في غزة لا قدّرَ الله,0
